Occupation,Number of workers,Median weekly earnings,Number of male workers,Male median weekly earnings,Number of female workers,Female median weekly earnings
Production occupations,"7,741",745,"5,668",814,"2,073",596
First-line supervisors of production and operating workers,806,949,633,"1,031",173,721
"Aircraft structure, surfaces, rigging, and systems assemblers",9,N/A,7,N/A,1,N/A
"Electrical, electronics, and electromechanical assemblers",103,644,52,712,51,594
Engine and other machine assemblers,8,N/A,6,N/A,2,N/A
Structural metal fabricators and fitters,24,N/A,24,N/A,0,N/A
Miscellaneous assemblers and fabricators,900,684,574,724,326,597
Bakers,151,561,70,590,81,522
"Butchers and other meat, poultry, and fish processing workers",265,648,198,671,67,573
"Food and tobacco roasting, baking, and drying machine operators and tenders",13,N/A,6,N/A,7,N/A
Food batchmakers,68,615,26,N/A,42,N/A
Food cooking machine operators and tenders,2,N/A,0,N/A,2,N/A
"Food processing workers, all other",144,658,94,779,50,573
Computer control programmers and operators,103,849,100,857,3,N/A
